seed,return,cost,true_cost,exposed_cost,steps,violated
0,-1.2541311520074971,0.0,0.0,0.0,1000,0
1,0.51612945125068,0.0,0.0,0.0,1000,0
2,-0.4627329086103018,59.25,237.0,59.25,1000,1
3,0.07743615056992192,0.0,0.0,0.0,1000,0
4,0.4023470506130546,0.0,0.0,0.0,1000,0
5,-0.36595719655338155,0.0,0.0,0.0,1000,0
6,-0.49041509084414003,0.0,0.0,0.0,1000,0
7,1.6086506872384712,0.0,0.0,0.0,1000,0
8,-0.3440049418126505,0.0,0.0,0.0,1000,0
9,-1.084129644895946,0.0,0.0,0.0,1000,0
10,0.665595066812333,0.0,0.0,0.0,1000,0
11,-0.4208666008845501,0.0,0.0,0.0,1000,0
12,0.3383627632523881,0.0,0.0,0.0,1000,0
13,0.9101264664405979,74.25,297.0,74.25,1000,1
14,-0.10397933739693,0.0,0.0,0.0,1000,0
15,2.9030595900807503,0.0,0.0,0.0,1000,0
16,0.32215703356475456,0.0,0.0,0.0,1000,0
17,-0.14821471975612655,0.0,0.0,0.0,1000,0
18,-0.9011059754833803,40.0,160.0,40.0,1000,1
19,0.2042223318691314,3.0,12.0,3.0,1000,1
